"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Colorado"	"08"	"1999"	"1999"	"Alcohol-induced causes"	"A"	468	4226018	11.07	11.49
"Total"	"Colorado"	"08"	"1999"	"1999"			843	4226018	19.95	20.09
	"Colorado"	"08"	"2000"	"2000"	"Drug-induced causes"	"D"	372	4301261	8.65	8.39
	"Colorado"	"08"	"2000"	"2000"	"Alcohol-induced causes"	"A"	446	4301261	10.37	10.77
"Total"	"Colorado"	"08"	"2000"	"2000"			818	4301261	19.02	19.16
	"Colorado"	"08"	"2001"	"2001"	"Drug-induced causes"	"D"	444	4425687	10.03	9.76
	"Colorado"	"08"	"2001"	"2001"	"Alcohol-induced causes"	"A"	511	4425687	11.55	11.96
"Total"	"Colorado"	"08"	"2001"	"2001"			955	4425687	21.58	21.71
	"Colorado"	"08"	"2002"	"2002"	"Drug-induced causes"	"D"	474	4490406	10.56	10.34
	"Colorado"	"08"	"2002"	"2002"	"Alcohol-induced causes"	"A"	516	4490406	11.49	11.76
"Total"	"Colorado"	"08"	"2002"	"2002"			990	4490406	22.05	22.11
	"Colorado"	"08"	"2003"	"2003"	"Drug-induced causes"	"D"	529	4528732	11.68	11.39
	"Colorado"	"08"	"2003"	"2003"	"Alcohol-induced causes"	"A"	517	4528732	11.42	11.37
"Total"	"Colorado"	"08"	"2003"	"2003"			1046	4528732	23.10	22.77
	"Colorado"	"08"	"2004"	"2004"	"Drug-induced causes"	"D"	548	4575013	11.98	11.67
	"Colorado"	"08"	"2004"	"2004"	"Alcohol-induced causes"	"A"	498	4575013	10.89	10.75
"Total"	"Colorado"	"08"	"2004"	"2004"			1046	4575013	22.86	22.40
	"Colorado"	"08"	"2005"	"2005"	"Drug-induced causes"	"D"	640	4631888	13.82	13.42
	"Colorado"	"08"	"2005"	"2005"	"Alcohol-induced causes"	"A"	500	4631888	10.79	10.55
"Total"	"Colorado"	"08"	"2005"	"2005"			1140	4631888	24.61	23.95
	"Colorado"	"08"	"2006"	"2006"	"Drug-induced causes"	"D"	660	4720423	13.98	13.53
	"Colorado"	"08"	"2006"	"2006"	"Alcohol-induced causes"	"A"	526	4720423	11.14	10.61
"Total"	"Colorado"	"08"	"2006"	"2006"			1186	4720423	25.12	24.13
	"Colorado"	"08"	"2007"	"2007"	"Drug-induced causes"	"D"	747	4803868	15.55	15.00
	"Colorado"	"08"	"2007"	"2007"	"Alcohol-induced causes"	"A"	610	4803868	12.70	11.93
"Total"	"Colorado"	"08"	"2007"	"2007"			1357	4803868	28.25	26.93
	"Colorado"	"08"	"2008"	"2008"	"Drug-induced causes"	"D"	760	4889730	15.54	14.99
	"Colorado"	"08"	"2008"	"2008"	"Alcohol-induced causes"	"A"	676	4889730	13.82	12.94
"Total"	"Colorado"	"08"	"2008"	"2008"			1436	4889730	29.37	27.92
	"Colorado"	"08"	"2009"	"2009"	"Drug-induced causes"	"D"	784	4972195	15.77	15.28
	"Colorado"	"08"	"2009"	"2009"	"Alcohol-induced causes"	"A"	686	4972195	13.80	12.97
"Total"	"Colorado"	"08"	"2009"	"2009"			1470	4972195	29.56	28.23
	"Colorado"	"08"	"2010"	"2010"	"Drug-induced causes"	"D"	676	5029196	13.44	13.12
	"Colorado"	"08"	"2010"	"2010"	"Alcohol-induced causes"	"A"	733	5029196	14.57	13.50
"Total"	"Colorado"	"08"	"2010"	"2010"			1409	5029196	28.02	26.60
	"Colorado"	"08"	"2011"	"2011"	"Drug-induced causes"	"D"	852	5116796	16.65	16.30
	"Colorado"	"08"	"2011"	"2011"	"Alcohol-induced causes"	"A"	720	5116796	14.07	12.99
"Total"	"Colorado"	"08"	"2011"	"2011"			1572	5116796	30.72	29.26
	"Colorado"	"08"	"2012"	"2012"	"Drug-induced causes"	"D"	826	5187582	15.92	15.34
	"Colorado"	"08"	"2012"	"2012"	"Alcohol-induced causes"	"A"	749	5187582	14.44	13.24
"Total"	"Colorado"	"08"	"2012"	"2012"			1575	5187582	30.36	28.56
	"Colorado"	"08"	"2013"	"2013"	"Drug-induced causes"	"D"	864	5268367	16.40	15.88
	"Colorado"	"08"	"2013"	"2013"	"Alcohol-induced causes"	"A"	788	5268367	14.96	13.80
"Total"	"Colorado"	"08"	"2013"	"2013"			1652	5268367	31.36	29.67
	"Colorado"	"08"	"2014"	"2014"	"Drug-induced causes"	"D"	917	5355866	17.12	16.60
	"Colorado"	"08"	"2014"	"2014"	"Alcohol-induced causes"	"A"	812	5355866	15.16	13.76
"Total"	"Colorado"	"08"	"2014"	"2014"			1729	5355866	32.28	30.35
	"Colorado"	"08"	"2015"	"2015"	"Drug-induced causes"	"D"	893	5456574	16.37	15.81
	"Colorado"	"08"	"2015"	"2015"	"Alcohol-induced causes"	"A"	857	5456574	15.71	14.47
"Total"	"Colorado"	"08"	"2015"	"2015"			1750	5456574	32.07	30.29
	"Colorado"	"08"	"2016"	"2016"	"Drug-induced causes"	"D"	973	5540545	17.56	17.10
	"Colorado"	"08"	"2016"	"2016"	"Alcohol-induced causes"	"A"	917	5540545	16.55	15.10
"Total"	"Colorado"	"08"	"2016"	"2016"			1890	5540545	34.11	32.22
	"Colorado"	"08"	"2017"	"2017"	"Drug-induced causes"	"D"	1050	5607154	18.73	18.14
	"Colorado"	"08"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1018	5607154	18.16	16.46
"Total"	"Colorado"	"08"	"2017"	"2017"			2068	5607154	36.88	34.60
"Total"	"Colorado"	"08"					25932	93127301	27.85	26.88
	"Connecticut"	"09"	"1999"	"1999"	"Drug-induced causes"	"D"	330	3386401	9.74	9.56
	"Connecticut"	"09"	"1999"	"1999"	"Alcohol-induced causes"	"A"	175	3386401	5.17	4.96
"Total"	"Connecticut"	"09"	"1999"	"1999"			505	3386401	14.91	14.51
	"Connecticut"	"09"	"2000"	"2000"	"Drug-induced causes"	"D"	336	3405565	9.87	9.65
	"Connecticut"	"09"	"2000"	"2000"	"Alcohol-induced causes"	"A"	195	3405565	5.73	5.51
"Total"	"Connecticut"	"09"	"2000"	"2000"			531	3405565	15.59	15.17
	"Connecticut"	"09"	"2001"	"2001"	"Drug-induced causes"	"D"	326	3432835	9.50	9.33
	"Connecticut"	"09"	"2001"	"2001"	"Alcohol-induced causes"	"A"	160	3432835	4.66	4.41
"Total"	"Connecticut"	"09"	"2001"	"2001"			486	3432835	14.16	13.74
	"Connecticut"	"09"	"2002"	"2002"	"Drug-induced causes"	"D"	377	3458749	10.90	10.91
	"Connecticut"	"09"	"2002"	"2002"	"Alcohol-induced causes"	"A"	198	3458749	5.72	5.37
"Total"	"Connecticut"	"09"	"2002"	"2002"			575	3458749	16.62	16.26
	"Connecticut"	"09"	"2003"	"2003"	"Drug-induced causes"	"D"	338	3484336	9.70	9.66
	"Connecticut"	"09"	"2003"	"2003"	"Alcohol-induced causes"	"A"	184	3484336	5.28	4.90
"Total"	"Connecticut"	"09"	"2003"	"2003"			522	3484336	14.98	14.54
	"Connecticut"	"09"	"2004"	"2004"	"Drug-induced causes"	"D"	360	3496094	10.30	10.32
	"Connecticut"	"09"	"2004"	"2004"	"Alcohol-induced causes"	"A"	189	3496094	5.41	4.92
"Total"	"Connecticut"	"09"	"2004"	"2004"			549	3496094	15.70	15.26
	"Connecticut"	"09"	"2005"	"2005"	"Drug-induced causes"	"D"	352	3506956	10.04	9.98
	"Connecticut"	"09"	"2005"	"2005"	"Alcohol-induced causes"	"A"	186	3506956	5.30	4.77
"Total"	"Connecticut"	"09"	"2005"	"2005"			538	3506956	15.34	14.75
	"Connecticut"	"09"	"2006"	"2006"	"Drug-induced causes"	"D"	458	3517460	13.02	12.86
	"Connecticut"	"09"	"2006"	"2006"	"Alcohol-induced causes"	"A"	186	3517460	5.29	4.68
"Total"	"Connecticut"	"09"	"2006"	"2006"			644	3517460	18.31	17.57
	"Connecticut"	"09"	"2007"	"2007"	"Drug-induced causes"	"D"	444	3527270	12.59	12.53
	"Connecticut"	"09"	"2007"	"2007"	"Alcohol-induced causes"	"A"	214	3527270	6.07	5.47
"Total"	"Connecticut"	"09"	"2007"	"2007"			658	3527270	18.65	18.00
	"Connecticut"	"09"	"2008"	"2008"	"Drug-induced causes"	"D"	397	3545579	11.20	11.02
	"Connecticut"	"09"	"2008"	"2008"	"Alcohol-induced causes"	"A"	229	3545579	6.46	5.79
"Total"	"Connecticut"	"09"	"2008"	"2008"			626	3545579	17.66	16.83
	"Connecticut"	"09"	"2009"	"2009"	"Drug-induced causes"	"D"	397	3561807	11.15	11.10
	"Connecticut"	"09"	"2009"	"2009"	"Alcohol-induced causes"	"A"	222	3561807	6.23	5.51
"Total"	"Connecticut"	"09"	"2009"	"2009"			619	3561807	17.38	16.63
	"Connecticut"	"09"	"2010"	"2010"	"Drug-induced causes"	"D"	372	3574097	10.41	10.28
	"Connecticut"	"09"	"2010"	"2010"	"Alcohol-induced causes"	"A"	192	3574097	5.37	4.77
"Total"	"Connecticut"	"09"	"2010"	"2010"			564	3574097	15.78	15.05
	"Connecticut"	"09"	"2011"	"2011"	"Drug-induced causes"	"D"	416	3580709	11.62	11.57
	"Connecticut"	"09"	"2011"	"2011"	"Alcohol-induced causes"	"A"	188	3580709	5.25	4.47
"Total"	"Connecticut"	"09"	"2011"	"2011"			604	3580709	16.87	16.06
	"Connecticut"	"09"	"2012"	"2012"	"Drug-induced causes"	"D"	451	3590347	12.56	12.37
	"Connecticut"	"09"	"2012"	"2012"	"Alcohol-induced causes"	"A"	187	3590347	5.21	4.51
"Total"	"Connecticut"	"09"	"2012"	"2012"			638	3590347	17.77	16.85
	"Connecticut"	"09"	"2013"	"2013"	"Drug-induced causes"	"D"	600	3596080	16.68	16.44
	"Connecticut"	"09"	"2013"	"2013"	"Alcohol-induced causes"	"A"	281	3596080	7.81	6.79
"Total"	"Connecticut"	"09"	"2013"	"2013"			881	3596080	24.50	23.23
	"Connecticut"	"09"	"2014"	"2014"	"Drug-induced causes"	"D"	639	3596677	17.77	18.06
	"Connecticut"	"09"	"2014"	"2014"	"Alcohol-induced causes"	"A"	303	3596677	8.42	7.25
"Total"	"Connecticut"	"09"	"2014"	"2014"			942	3596677	26.19	25.32
	"Connecticut"	"09"	"2015"	"2015"	"Drug-induced causes"	"D"	827	3590886	23.03	22.75
	"Connecticut"	"09"	"2015"	"2015"	"Alcohol-induced causes"	"A"	341	3590886	9.50	8.04
"Total"	"Connecticut"	"09"	"2015"	"2015"			1168	3590886	32.53	30.78
	"Connecticut"	"09"	"2016"	"2016"	"Drug-induced causes"	"D"	997	3576452	27.88	28.11
	"Connecticut"	"09"	"2016"	"2016"	"Alcohol-induced causes"	"A"	336	3576452	9.39	7.85
"Total"	"Connecticut"	"09"	"2016"	"2016"			1333	3576452	37.27	35.96
	"Connecticut"	"09"	"2017"	"2017"	"Drug-induced causes"	"D"	1103	3588184	30.74	31.79
	"Connecticut"	"09"	"2017"	"2017"	"Alcohol-induced causes"	"A"	354	3588184	9.87	8.19
"Total"	"Connecticut"	"09"	"2017"	"2017"			1457	3588184	40.61	39.96
"Total"	"Connecticut"	"09"					13840	67016484	20.65	19.92
	"Delaware"	"10"	"1999"	"1999"	"Drug-induced causes"	"D"	55	774990	7.10	7.09
	"Delaware"	"10"	"1999"	"1999"	"Alcohol-induced causes"	"A"	61	774990	7.87	7.79
"Total"	"Delaware"	"10"	"1999"	"1999"			116	774990	14.97	14.87
	"Delaware"	"10"	"2000"	"2000"	"Drug-induced causes"	"D"	60	783600	7.66	7.64
	"Delaware"	"10"	"2000"	"2000"	"Alcohol-induced causes"	"A"	51	783600	6.51	6.37
"Total"	"Delaware"	"10"	"2000"	"2000"			111	783600	14.17	14.00
	"Delaware"	"10"	"2001"	"2001"	"Drug-induced causes"	"D"	70	795699	8.80	8.79
	"Delaware"	"10"	"2001"	"2001"	"Alcohol-induced causes"	"A"	69	795699	8.67	8.47
"Total"	"Delaware"	"10"	"2001"	"2001"			139	795699	17.47	17.28
	"Delaware"	"10"	"2002"	"2002"	"Drug-induced causes"	"D"	85	806169	10.54	10.58
	"Delaware"	"10"	"2002"	"2002"	"Alcohol-induced causes"	"A"	76	806169	9.43	9.05
"Total"	"Delaware"	"10"	"2002"	"2002"			161	806169	19.97	19.63
	"Delaware"	"10"	"2003"	"2003"	"Drug-induced causes"	"D"	88	818003	10.76	10.76
	"Delaware"	"10"	"2003"	"2003"	"Alcohol-induced causes"	"A"	66	818003	8.07	7.65
"Total"	"Delaware"	"10"	"2003"	"2003"			154	818003	18.83	18.40
	"Delaware"	"10"	"2004"	"2004"	"Drug-induced causes"	"D"	92	830803	11.07	11.01
	"Delaware"	"10"	"2004"	"2004"	"Alcohol-induced causes"	"A"	54	830803	6.50	5.83
"Total"	"Delaware"	"10"	"2004"	"2004"			146	830803	17.57	16.86
	"Delaware"	"10"	"2005"	"2005"	"Drug-induced causes"	"D"	67	845150	7.93	8.15
	"Delaware"	"10"	"2005"	"2005"	"Alcohol-induced causes"	"A"	58	845150	6.86	6.19
"Total"	"Delaware"	"10"	"2005"	"2005"			125	845150	14.79	14.34
	"Delaware"	"10"	"2006"	"2006"	"Drug-induced causes"	"D"	83	859268	9.66	9.90
	"Delaware"	"10"	"2006"	"2006"	"Alcohol-induced causes"	"A"	58	859268	6.75	6.16
"Total"	"Delaware"	"10"	"2006"	"2006"			141	859268	16.41	16.08
	"Delaware"	"10"	"2007"	"2007"	"Drug-induced causes"	"D"	102	871749	11.70	11.99
	"Delaware"	"10"	"2007"	"2007"	"Alcohol-induced causes"	"A"	57	871749	6.54	6.00
"Total"	"Delaware"	"10"	"2007"	"2007"			159	871749	18.24	18.00
	"Delaware"	"10"	"2008"	"2008"	"Drug-induced causes"	"D"	125	883874	14.14	14.38
	"Delaware"	"10"	"2008"	"2008"	"Alcohol-induced causes"	"A"	75	883874	8.49	7.55
"Total"	"Delaware"	"10"	"2008"	"2008"			200	883874	22.63	21.92
	"Delaware"	"10"	"2009"	"2009"	"Drug-induced causes"	"D"	139	891730	15.59	15.69
	"Delaware"	"10"	"2009"	"2009"	"Alcohol-induced causes"	"A"	70	891730	7.85	6.92
"Total"	"Delaware"	"10"	"2009"	"2009"			209	891730	23.44	22.61
	"Delaware"	"10"	"2010"	"2010"	"Drug-induced causes"	"D"	147	897934	16.37	16.82
	"Delaware"	"10"	"2010"	"2010"	"Alcohol-induced causes"	"A"	74	897934	8.24	7.28
"Total"	"Delaware"	"10"	"2010"	"2010"			221	897934	24.61	24.10
	"Delaware"	"10"	"2011"	"2011"	"Drug-induced causes"	"D"	166	907135	18.30	18.30
	"Delaware"	"10"	"2011"	"2011"	"Alcohol-induced causes"	"A"	62	907135	6.83	5.90
"Total"	"Delaware"	"10"	"2011"	"2011"			228	907135	25.13	24.21
	"Delaware"	"10"	"2012"	"2012"	"Drug-induced causes"	"D"	150	917092	16.36	16.15
	"Delaware"	"10"	"2012"	"2012"	"Alcohol-induced causes"	"A"	60	917092	6.54	5.74
"Total"	"Delaware"	"10"	"2012"	"2012"			210	917092	22.90	21.89
	"Delaware"	"10"	"2013"	"2013"	"Drug-induced causes"	"D"	170	925749	18.36	19.09
	"Delaware"	"10"	"2013"	"2013"	"Alcohol-induced causes"	"A"	63	925749	6.81	6.03
"Total"	"Delaware"	"10"	"2013"	"2013"			233	925749	25.17	25.14
	"Delaware"	"10"	"2014"	"2014"	"Drug-induced causes"	"D"	204	935614	21.80	22.58
	"Delaware"	"10"	"2014"	"2014"	"Alcohol-induced causes"	"A"	77	935614	8.23	6.81
"Total"	"Delaware"	"10"	"2014"	"2014"			281	935614	30.03	29.39
	"Delaware"	"10"	"2015"	"2015"	"Drug-induced causes"	"D"	208	945934	21.99	22.97
	"Delaware"	"10"	"2015"	"2015"	"Alcohol-induced causes"	"A"	80	945934	8.46	7.61
"Total"	"Delaware"	"10"	"2015"	"2015"			288	945934	30.45	30.57
	"Delaware"	"10"	"2016"	"2016"	"Drug-induced causes"	"D"	288	952065	30.25	31.37
	"Delaware"	"10"	"2016"	"2016"	"Alcohol-induced causes"	"A"	104	952065	10.92	9.16
"Total"	"Delaware"	"10"	"2016"	"2016"			392	952065	41.17	40.53
	"Delaware"	"10"	"2017"	"2017"	"Drug-induced causes"	"D"	342	961939	35.55	37.48
	"Delaware"	"10"	"2017"	"2017"	"Alcohol-induced causes"	"A"	104	961939	10.81	9.15
"Total"	"Delaware"	"10"	"2017"	"2017"			446	961939	46.36	46.65
"Total"	"Delaware"	"10"					3960	16604497	23.85	23.34
	"District of Columbia"	"11"	"1999"	"1999"	"Drug-induced causes"	"D"	55	570213	9.65	9.61
	"District of Columbia"	"11"	"1999"	"1999"	"Alcohol-induced causes"	"A"	77	570213	13.50	13.95
"Total"	"District of Columbia"	"11"	"1999"	"1999"			132	570213	23.15	23.57
	"District of Columbia"	"11"	"2000"	"2000"	"Drug-induced causes"	"D"	84	572059	14.68	14.85
	"District of Columbia"	"11"	"2000"	"2000"	"Alcohol-induced causes"	"A"	113	572059	19.75	19.99
"Total"	"District of Columbia"	"11"	"2000"	"2000"			197	572059	34.44	34.80
	"District of Columbia"	"11"	"2001"	"2001"	"Drug-induced causes"	"D"	111	574504	19.32	19.37
	"District of Columbia"	"11"	"2001"	"2001"	"Alcohol-induced causes"	"A"	113	574504	19.67	19.67
"Total"	"District of Columbia"	"11"	"2001"	"2001"			224	574504	38.99	39.03
	"District of Columbia"	"11"	"2002"	"2002"	"Drug-induced causes"	"D"	70	573158	12.21	12.47
	"District of Columbia"	"11"	"2002"	"2002"	"Alcohol-induced causes"	"A"	117	573158	20.41	20.30
"Total"	"District of Columbia"	"11"	"2002"	"2002"			187	573158	32.63	32.78
	"District of Columbia"	"11"	"2003"	"2003"	"Drug-induced causes"	"D"	119	568502	20.93	20.88
	"District of Columbia"	"11"	"2003"	"2003"	"Alcohol-induced causes"	"A"	102	568502	17.94	17.91
"Total"	"District of Columbia"	"11"	"2003"	"2003"			221	568502	38.87	38.81
	"District of Columbia"	"11"	"2004"	"2004"	"Drug-induced causes"	"D"	109	567754	19.20	19.46
	"District of Columbia"	"11"	"2004"	"2004"	"Alcohol-induced causes"	"A"	109	567754	19.20	19.16
"Total"	"District of Columbia"	"11"	"2004"	"2004"			218	567754	38.40	38.64
	"District of Columbia"	"11"	"2005"	"2005"	"Drug-induced causes"	"D"	94	567136	16.57	16.65
	"District of Columbia"	"11"	"2005"	"2005"	"Alcohol-induced causes"	"A"	83	567136	14.63	14.55
"Total"	"District of Columbia"	"11"	"2005"	"2005"			177	567136	31.21	31.17
	"District of Columbia"	"11"	"2006"	"2006"	"Drug-induced causes"	"D"	129	570681	22.60	22.73
	"District of Columbia"	"11"	"2006"	"2006"	"Alcohol-induced causes"	"A"	82	570681	14.37	14.15
"Total"	"District of Columbia"	"11"	"2006"	"2006"			211	570681	36.97	36.87
	"District of Columbia"	"11"	"2007"	"2007"	"Drug-induced causes"	"D"	90	574404	15.67	15.53
	"District of Columbia"	"11"	"2007"	"2007"	"Alcohol-induced causes"	"A"	60	574404	10.45	9.81
"Total"	"District of Columbia"	"11"	"2007"	"2007"			150	574404	26.11	25.38
	"District of Columbia"	"11"	"2008"	"2008"	"Drug-induced causes"	"D"	77	580236	13.27	13.26
	"District of Columbia"	"11"	"2008"	"2008"	"Alcohol-induced causes"	"A"	73	580236	12.58	12.09
"Total"	"District of Columbia"	"11"	"2008"	"2008"			150	580236	25.85	25.37
	"District of Columbia"	"11"	"2009"	"2009"	"Drug-induced causes"	"D"	58	592228	9.79	9.54
	"District of Columbia"	"11"	"2009"	"2009"	"Alcohol-induced causes"	"A"	51	592228	8.61	8.41
"Total"	"District of Columbia"	"11"	"2009"	"2009"			109	592228	18.41	17.94
	"District of Columbia"	"11"	"2010"	"2010"	"Drug-induced causes"	"D"	90	601723	14.96	14.95
	"District of Columbia"	"11"	"2010"	"2010"	"Alcohol-induced causes"	"A"	87	601723	14.46	14.05
"Total"	"District of Columbia"	"11"	"2010"	"2010"			177	601723	29.42	29.00
	"District of Columbia"	"11"	"2011"	"2011"	"Drug-induced causes"	"D"	94	617996	15.21	14.68
	"District of Columbia"	"11"	"2011"	"2011"	"Alcohol-induced causes"	"A"	75	617996	12.14	11.98
"Total"	"District of Columbia"	"11"	"2011"	"2011"			169	617996	27.35	26.66
	"District of Columbia"	"11"	"2012"	"2012"	"Drug-induced causes"	"D"	85	632323	13.44	13.70
	"District of Columbia"	"11"	"2012"	"2012"	"Alcohol-induced causes"	"A"	74	632323	11.70	11.71
"Total"	"District of Columbia"	"11"	"2012"	"2012"			159	632323	25.15	25.41
	"District of Columbia"	"11"	"2013"	"2013"	"Drug-induced causes"	"D"	113	646449	17.48	16.60
	"District of Columbia"	"11"	"2013"	"2013"	"Alcohol-induced causes"	"A"	65	646449	10.05	9.88
"Total"	"District of Columbia"	"11"	"2013"	"2013"			178	646449	27.54	26.45
	"District of Columbia"	"11"	"2014"	"2014"	"Drug-induced causes"	"D"	106	658893	16.09	15.72
	"District of Columbia"	"11"	"2014"	"2014"	"Alcohol-induced causes"	"A"	66	658893	10.02	9.94
"Total"	"District of Columbia"	"11"	"2014"	"2014"			172	658893	26.10	25.65
	"District of Columbia"	"11"	"2015"	"2015"	"Drug-induced causes"	"D"	130	672228	19.34	19.16
	"District of Columbia"	"11"	"2015"	"2015"	"Alcohol-induced causes"	"A"	80	672228	11.90	11.58
"Total"	"District of Columbia"	"11"	"2015"	"2015"			210	672228	31.24	30.73
	"District of Columbia"	"11"	"2016"	"2016"	"Drug-induced causes"	"D"	276	681170	40.52	39.86
	"District of Columbia"	"11"	"2016"	"2016"	"Alcohol-induced causes"	"A"	80	681170	11.74	11.75
"Total"	"District of Columbia"	"11"	"2016"	"2016"			356	681170	52.26	51.61
	"District of Columbia"	"11"	"2017"	"2017"	"Drug-induced causes"	"D"	322	693972	46.40	45.62
	"District of Columbia"	"11"	"2017"	"2017"	"Alcohol-induced causes"	"A"	63	693972	9.08	9.32
"Total"	"District of Columbia"	"11"	"2017"	"2017"			385	693972	55.48	54.96
"Total"	"District of Columbia"	"11"					3782	11515629	32.84	32.74
	"Florida"	"12"	"1999"	"1999"	"Drug-induced causes"	"D"	1061	15759421	6.73	6.81
	"Florida"	"12"	"1999"	"1999"	"Alcohol-induced causes"	"A"	1284	15759421	8.15	7.63
"Total"	"Florida"	"12"	"1999"	"1999"			2345	15759421	14.88	14.43
	"Florida"	"12"	"2000"	"2000"	"Drug-induced causes"	"D"	1237	15982378	7.74	7.91
	"Florida"	"12"	"2000"	"2000"	"Alcohol-induced causes"	"A"	1341	15982378	8.39	7.78
"Total"	"Florida"	"12"	"2000"	"2000"			2578	15982378	16.13	15.66
	"Florida"	"12"	"2001"	"2001"	"Drug-induced causes"	"D"	1833	16356966	11.21	11.45
	"Florida"	"12"	"2001"	"2001"	"Alcohol-induced causes"	"A"	1408	16356966	8.61	7.93
"Total"	"Florida"	"12"	"2001"	"2001"			3241	16356966	19.81	19.39
	"Florida"	"12"	"2002"	"2002"	"Drug-induced causes"	"D"	2041	16689370	12.23	12.49
	"Florida"	"12"	"2002"	"2002"	"Alcohol-induced causes"	"A"	1424	16689370	8.53	7.80
"Total"	"Florida"	"12"	"2002"	"2002"			3465	16689370	20.76	20.31
	"Florida"	"12"	"2003"	"2003"	"Drug-induced causes"	"D"	2153	17004085	12.66	12.93
	"Florida"	"12"	"2003"	"2003"	"Alcohol-induced causes"	"A"	1485	17004085	8.73	7.89
"Total"	"Florida"	"12"	"2003"	"2003"			3638	17004085	21.39	20.82
	"Florida"	"12"	"2004"	"2004"	"Drug-induced causes"	"D"	2408	17415318	13.83	14.09
	"Florida"	"12"	"2004"	"2004"	"Alcohol-induced causes"	"A"	1525	17415318	8.76	7.83
"Total"	"Florida"	"12"	"2004"	"2004"			3933	17415318	22.58	21.92
	"Florida"	"12"	"2005"	"2005"	"Drug-induced causes"	"D"	2664	17842038	14.93	15.05
	"Florida"	"12"	"2005"	"2005"	"Alcohol-induced causes"	"A"	1612	17842038	9.03	7.99
"Total"	"Florida"	"12"	"2005"	"2005"			4276	17842038	23.97	23.02
	"Florida"	"12"	"2006"	"2006"	"Drug-induced causes"	"D"	2928	18166990	16.12	16.14
	"Florida"	"12"	"2006"	"2006"	"Alcohol-induced causes"	"A"	1746	18166990	9.61	8.51
"Total"	"Florida"	"12"	"2006"	"2006"			4674	18166990	25.73	24.64
	"Florida"	"12"	"2007"	"2007"	"Drug-induced causes"	"D"	2936	18367842	15.98	16.14
	"Florida"	"12"	"2007"	"2007"	"Alcohol-induced causes"	"A"	1770	18367842	9.64	8.37
"Total"	"Florida"	"12"	"2007"	"2007"			4706	18367842	25.62	24.55
	"Florida"	"12"	"2008"	"2008"	"Drug-induced causes"	"D"	3097	18527305	16.72	16.93
	"Florida"	"12"	"2008"	"2008"	"Alcohol-induced causes"	"A"	1765	18527305	9.53	8.18
"Total"	"Florida"	"12"	"2008"	"2008"			4862	18527305	26.24	25.09
	"Florida"	"12"	"2009"	"2009"	"Drug-induced causes"	"D"	3193	18652644	17.12	17.22
	"Florida"	"12"	"2009"	"2009"	"Alcohol-induced causes"	"A"	1688	18652644	9.05	7.64
"Total"	"Florida"	"12"	"2009"	"2009"			4881	18652644	26.17	24.89
	"Florida"	"12"	"2010"	"2010"	"Drug-induced causes"	"D"	3181	18801310	16.92	17.01
	"Florida"	"12"	"2010"	"2010"	"Alcohol-induced causes"	"A"	1751	18801310	9.31	7.83
"Total"	"Florida"	"12"	"2010"	"2010"			4932	18801310	26.23	24.83
	"Florida"	"12"	"2011"	"2011"	"Drug-induced causes"	"D"	3033	19057542	15.91	15.97
	"Florida"	"12"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1858	19057542	9.75	8.10
"Total"	"Florida"	"12"	"2011"	"2011"			4891	19057542	25.66	24.08
	"Florida"	"12"	"2012"	"2012"	"Drug-induced causes"	"D"	2697	19317568	13.96	13.75
	"Florida"	"12"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1963	19317568	10.16	8.42
"Total"	"Florida"	"12"	"2012"	"2012"			4660	19317568	24.12	22.17
	"Florida"	"12"	"2013"	"2013"	"Drug-induced causes"	"D"	2603	19552860	13.31	13.23
	"Florida"	"12"	"2013"	"2013"	"Alcohol-induced causes"	"A"	2070	19552860	10.59	8.75
"Total"	"Florida"	"12"	"2013"	"2013"			4673	19552860	23.90	21.99
	"Florida"	"12"	"2014"	"2014"	"Drug-induced causes"	"D"	2804	19893297	14.10	14.02
	"Florida"	"12"	"2014"	"2014"	"Alcohol-induced causes"	"A"	2366	19893297	11.89	9.68
"Total"	"Florida"	"12"	"2014"	"2014"			5170	19893297	25.99	23.69
	"Florida"	"12"	"2015"	"2015"	"Drug-induced causes"	"D"	3377	20271272	16.66	16.94
	"Florida"	"12"	"2015"	"2015"	"Alcohol-induced causes"	"A"	2489	20271272	12.28	9.89
"Total"	"Florida"	"12"	"2015"	"2015"			5866	20271272	28.94	26.82
	"Florida"	"12"	"2016"	"2016"	"Drug-induced causes"	"D"	4963	20612439	24.08	24.89
	"Florida"	"12"	"2016"	"2016"	"Alcohol-induced causes"	"A"	2661	20612439	12.91	10.40
"Total"	"Florida"	"12"	"2016"	"2016"			7624	20612439	36.99	35.26
	"Florida"	"12"	"2017"	"2017"	"Drug-induced causes"	"D"	5347	20984400	25.48	26.27
	"Florida"	"12"	"2017"	"2017"	"Alcohol-induced causes"	"A"	2598	20984400	12.38	9.88
"Total"	"Florida"	"12"	"2017"	"2017"			7945	20984400	37.86	36.16
"Total"	"Florida"	"12"					88360	349255045	25.30	24.12
